"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04518","Integrin signaling","5/21","153/11212",0.0326797385620915,17.4478680361033,8.87349635156618,7.56052961117639e-06,1.25092399021282e-05,1.59169044445819e-06,"18706/11651/11461/18708/11652",5
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","4/21","70/11212",0.0571428571428571,30.508843537415,10.7279566121313,7.69603225167274e-06,1.26187195477877e-05,1.60562076374396e-06,"14281/26417/26413/16476",4
"Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome","5/21","162/11212",0.0308641975308642,16.4785420340976,8.59614623445876,9.99068607735312e-06,1.62348648756988e-05,2.06574336185873e-06,"26417/26413/12323/12912/12322",5
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","5/21","165/11212",0.0303030303030303,16.1789321789322,8.50860556360348,1.09238393239081e-05,1.75941482916041e-05,2.23870018748e-06,"26417/26413/12323/12912/12322",5
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","4/21","77/11212",0.051948051948052,27.7353123067409,10.1972458335623,1.12625405713018e-05,1.79805472278678e-05,2.28786604403176e-06,"14281/26417/26413/16476",4
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","5/21","172/11212",0.0290697674418605,15.5204872646733,8.31300904021291,1.33673375712199e-05,2.11552646779306e-05,2.69182083814039e-06,"11651/26417/26413/11652/12912",5
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","4/21","88/11212",0.0454545454545455,24.2683982683983,9.49237114438201,1.91490704862024e-05,3.00442312800762e-05,3.82286343644695e-06,"14281/26417/26413/16476",4
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","4/21","94/11212",0.0425531914893617,22.7193515704154,9.15998627658442,2.48598423414481e-05,3.86708658644748e-05,4.92052659929697e-06,"18706/11651/18708/11652",4
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease","6/21","338/11212",0.0177514792899408,9.47759932375317,6.8554181232871,2.65531206528687e-05,4.09548132103568e-05,5.21113875435424e-06,"14281/18706/26417/26413/16476/18708",6
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","4/21","97/11212",0.0412371134020619,22.0166912125675,9.00518942776622,2.81428188569993e-05,4.30419582518812e-05,5.4767095520034e-06,"14281/26417/26413/16476",4
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","4/21","105/11212",0.0380952380952381,20.3392290249433,8.62447754837571,3.84508156425235e-05,5.83170703911607e-05,7.42033284329402e-06,"14281/26417/26413/16476",4
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","4/21","109/11212",0.036697247706422,19.5928352992573,8.44959857787092,4.45319099113308e-05,6.69818810236547e-05,8.52285357154657e-06,"11651/26417/26413/11652",4
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","5/21","228/11212",0.0219298245614035,11.7084377610693,7.07637197734653,5.19026669040163e-05,7.74285686600899e-05,9.85210243216876e-06,"18706/11651/16476/18708/11652",5
"Human Diseases","Substance dependence","mmu05033","Nicotine addiction","3/21","40/11212",0.075,40.0428571428571,10.7152793973437,5.35137304010526e-05,7.9182918154403e-05,1.00753279317343e-05,"14810/14812/14811",3
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","4/21","116/11212",0.0344827586206897,18.4105090311987,8.16497040910415,5.682905655283e-05,8.34103894565731e-05,1.06132363681007e-05,"18706/26417/26413/18708",4
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","4/21","123/11212",0.032520325203252,17.3627564847077,7.90424160969259,7.14434184617603e-05,0.000104021617280323,1.32358333150209e-05,"26417/26413/12323/12322",4
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","4/21","130/11212",0.0307692307692308,16.4278388278388,7.66416899257108,8.86290761313106e-05,0.000128019776634115,1.62893874259719e-05,"18706/18708/12323/12322",4
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","5/21","308/11212",0.0162337662337662,8.66728509585652,5.91046193534743,0.000214520183635752,0.000307422625367771,3.91168175713763e-05,"14810/14812/12064/12912/13385",5
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","4/21","171/11212",0.0233918128654971,12.489000278474,6.55803101120493,0.000255259137545696,0.000362946586197787,4.61817518585963e-05,"18706/11651/18708/11652",4
"Organismal Systems","Digestive system","mmu04971","Gastric acid secretion","3/21","75/11212",0.04,21.3561904761905,7.6619692314306,0.000350642689784939,0.000494705190239216,6.29468720952155e-05,"11461/12323/12322",3
"Human Diseases","Infectious disease: bacterial","mmu05100","Bacterial invasion of epithelial cells","3/21","77/11212",0.038961038961039,20.8014842300557,7.55258065612247,0.000378938361044811,0.000530513705462736,6.75031898217478e-05,"18706/11461/18708",3
"Organismal Systems","Endocrine system","mmu04911","Insulin secretion","3/21","86/11212",0.0348837209302326,18.624584717608,7.10715793203817,0.000524436817641914,0.000728606876418537,9.27087986189001e-05,"12323/12912/12322",3
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","4/21","215/11212",0.0186046511627907,9.93311184939092,5.72904541438775,0.000608992696801583,0.000839671748620365,0.000106840824000278,"18706/11651/18708/11652",4
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","3/21","92/11212",0.0326086956521739,17.4099378881988,6.84614089994493,0.000638897039338837,0.000874280159095251,0.000111244438982623,"26417/26413/11461",3
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","3/21","104/11212",0.0288461538461538,15.4010989010989,6.39133737359522,0.000913178909065572,0.00124028777201443,0.000157815679492872,"12323/12912/12322",3
"Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration","3/21","119/11212",0.0252100840336134,13.4597839135654,5.91911612781013,0.00134852452509374,0.00181801084123748,0.000231325844460524,"18706/11461/18708",3
"Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer","2/21","37/11212",0.0540540540540541,28.8597168597169,7.35277320189548,0.00213910884525956,0.00286263095468559,0.000364244540214476,"26417/26413",2
"Human Diseases","Cancer: overview","mmu05206","MicroRNAs in cancer","4/21","318/11212",0.0125786163522013,6.71578316861336,4.47912307098696,0.00259370903985006,0.00344565726461832,0.000438429495787178,"18706/26417/26413/18708",4
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","2/21","41/11212",0.048780487804878,26.0441347270616,6.95903962964459,0.00262188667566572,0.00345785054326928,0.000439980982949243,"26417/26413",2
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","3/21","179/11212",0.0167597765363128,8.94812450119712,4.64346037194278,0.00430668175649515,0.00563896460202963,0.000717508509222972,"16476/12323/12322",3
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","4/21","379/11212",0.0105540897097625,5.63487875361226,3.97631688035949,0.00487206799183432,0.00633368838938462,0.000805905983611693,"14810/11461/14812/14811",4
"Organismal Systems","Nervous system","mmu04730","Long-term depression","2/21","60/11212",0.0333333333333333,17.7968253968254,5.65098075595453,0.00553959917023251,0.00711042417038708,0.000904738760835835,"26417/26413",2
"Environmental Information Processing","Signaling molecules and interaction","mmu04082","Neuroactive ligand signaling","3/21","196/11212",0.0153061224489796,8.17201166180758,4.38787689765052,0.00554769358348882,0.00711042417038708,0.000904738760835835,"14810/14812/14811",3
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","3/21","212/11212",0.0141509433962264,7.55525606469003,4.17405939560304,0.00689454692596509,0.00877487790577375,0.00111652581797005,"26417/26413/16476",3
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","2/21","72/11212",0.0277777777777778,14.8306878306878,5.0999369577144,0.00789228130325967,0.00997496664717542,0.00126922652537802,"11651/11652",2
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","2/21","86/11212",0.0232558139534884,12.4163898117386,4.60368778645187,0.0111095273110557,0.0139443722111182,0.00177429837272759,"26417/26413",2
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","2/21","87/11212",0.0229885057471264,12.2736726874658,4.57269688595217,0.0113581629395472,0.0141588058561479,0.00180158316272558,"14281/16476",2
"Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system","2/21","96/11212",0.0208333333333333,11.1230158730159,4.31487919432203,0.0137055569484519,0.0169687847933214,0.00215912819810914,"18706/18708",2
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","2/21","107/11212",0.0186915887850467,9.97952825990209,4.04281161501004,0.0168357355440112,0.0207034045203381,0.00263432561855082,"18706/18708",2
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","2/21","112/11212",0.0178571428571429,9.53401360544218,3.93186165607407,0.0183505449361389,0.0224147595864247,0.00285208045634091,"26417/26413",2
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","3/21","306/11212",0.00980392156862745,5.234360410831,3.2532179725277,0.0186014379733667,0.0225697447410183,0.00287180095027416,"18706/11461/18708",3
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","2/21","137/11212",0.0145985401459854,7.79423010079944,3.46597992531523,0.0267430039972031,0.0322332895860329,0.00410140179810714,"26417/26413",2
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","2/21","141/11212",0.0141843971631206,7.57311719013847,3.40239617901352,0.0282068814846641,0.033774029146111,0.0042974473176081,"11651/11652",2
"Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction","2/21","144/11212",0.0138888888888889,7.41534391534391,3.35632485977948,0.0293257951799187,0.0348842792336287,0.0044387168486977,"26417/26413",2
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","2/21","150/11212",0.0133333333333333,7.11873015873016,3.2680408695175,0.0316167042516385,0.0373651959337546,0.00475439161678775,"14812/14811",2
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","2/21","154/11212",0.012987012987013,6.93382807668522,3.21184369846404,0.0331826133477616,0.0389628105115653,0.0049576739806503,"26417/26413",2
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","2/21","158/11212",0.0126582278481013,6.75828812537673,3.15761794014304,0.0347788491784504,0.0405753240415255,0.00516285210476322,"11461/13385",2
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","3/21","394/11212",0.00761421319796954,4.06526468455402,2.68311927888485,0.035812161597216,0.0415147350999574,0.00528238387622361,"14810/14812/14811",3
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","2/21","169/11212",0.0118343195266272,6.31839954916878,3.01771452305397,0.0393208596252039,0.0452936484290324,0.00576321726685201,"16476/11461",2
"Environmental Information Processing","Signaling molecules and interaction","mmu04519","Cadherin signaling","3/21","414/11212",0.0072463768115942,3.86887508626639,2.57654376531304,0.0405797413097727,0.0464497667822555,0.00591032313018867,"26417/26413/11461",3
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","2/21","177/11212",0.0112994350282486,6.03282216841539,2.92354259245741,0.0427601026675623,0.0486396167843522,0.00618896222819981,"12323/12322",2
